workshop,UID,title,authors,presentation_id
WS-1,WS-1.100,Modelling Lexical Ambiguity with Density Matrices,Francois Meyer|Martha Lewis,38939483
WS-1,WS-1.101,Catplayinginthesnow: Impact of Prior Segmentation on a Model of Visually Grounded Speech,William Havard|Laurent Besacier|Jean-Pierre Chevrot,38939484
WS-1,WS-1.108,Learning to ground medical text in a 3D human atlas,Dusan Grujicic|Gorjan Radevski|Tinne Tuytelaars|Matthew Blaschko,38939485
WS-1,WS-1.109,Representation Learning for Type-Driven Composition,Gijs Wijnholds|Mehrnoosh Sadrzadeh|Stephen Clark,38939486
WS-1,WS-1.113,Word Representations Concentrate and This is Good News!,Romain Couillet|Yagmur Gizem Cinar|Eric Gaussier|Muhammad Imran,38939487
WS-1,WS-1.115,``LazImpa'': Lazy and Impatient neural agents learn to communicate efficiently,Mathieu Rita|Rahma Chaabouni|Emmanuel Dupoux,38939488
WS-1,WS-1.1165_F,Investigating Transferability in Pretrained Language Models,Alex Tamkin|Trisha Singh|Davide Giovanardi|Noah Goodman,38940643
WS-1,WS-1.127,Re-solve it: simulating the acquisition of core semantic competences from small data,Aurélie Herbelot,38939489
WS-1,WS-1.128,In Media Res: A Corpus for Evaluating Named Entity Linking with Creative Works,Adrian M.P. Brasoveanu|Albert Weichselbraun|Lyndon Nixon,38939490
WS-1,WS-1.136,Analogies minus analogy test: measuring regularities in word embeddings,Louis Fournier|Emmanuel Dupoux|Ewan Dunbar,38939491
WS-1,WS-1.137,Word associations and the distance properties of context-aware word embeddings,Maria Andueza Rodriguez|Paola Merlo,38939492
WS-1,WS-1.14,Neural Proof Nets,Konstantinos Kogkalidis|Michael Moortgat|Richard Moot,38939465
WS-1,WS-1.142,TrClaim-19: The First Collection for Turkish Check-Worthy Claim Detection with Annotator Rationales,Yavuz Selim Kartal|Mucahid Kutlu,38939493
WS-1,WS-1.144,Discourse structure interacts with reference but not syntax in neural language models,Forrest Davis|Marten Van Schijndel,38939494
WS-1,WS-1.147,Continual Adaptation for Efficient Machine Communication,Robert Hawkins|Minae Kwon|Dorsa Sadigh|Noah Goodman,38939495
WS-1,WS-1.149,Diverse and Relevant Visual Storytelling with Scene Graph Embeddings,Xudong Hong|Rakshith Shetty|Asad Sayeed|Khushboo Mehra|Vera Demberg|Bernt Schiele,38939496
WS-1,WS-1.15,TaxiNLI: Taking a Ride up the NLU Hill,Pratik Joshi|Somak Aditya|Aalok Sathe|Monojit Choudhury,38939466
WS-1,WS-1.152,Alleviating Digitization Errors in Named Entity Recognition for Historical Documents,Emanuela Boros|Ahmed Hamdi|Elvys Linhares Pontes|Luis Adrián Cabrera-Diego|Jose G. Moreno|Nicolas Sidere|Antoine Doucet,38939497
WS-1,WS-1.155,Analysing Word Representation from the Input and Output Embeddings in Neural Network Language Models,Steven Derby|Paul Miller|Barry Devereux,38939498
WS-1,WS-1.156,On the Computational Power of Transformers and Its Implications in Sequence Modeling,Satwik Bhattamishra|Arkil Patel|Navin Goyal,38939499
WS-1,WS-1.1597_F,Pragmatic Issue-Sensitive Image Captioning,Allen Nie|Reuben Cohn-Gordon|Christopher Potts,38940644
WS-1,WS-1.162,An Expectation Maximisation Algorithm for Automated Cognate Detection,Roddy MacSween|Andrew Caines,38939500
WS-1,WS-1.168,Filler-gaps that neural networks fail to generalize,Debasmita Bhattacharya|Marten Van Schijndel,38939501
WS-1,WS-1.177,"Don’t Parse, Insert: Multilingual Semantic Parsing with Insertion Based Decoding",Qile Zhu|Haidar Khan|Saleh Soltan|Stephen Rawls|Wael Hamza,38939502
WS-1,WS-1.18,Modeling Subjective Assessments of Guilt in Newspaper Crime Narratives,Elisa Kreiss|Zijian Wang|Christopher Potts,38939467
WS-1,WS-1.183,Learning Context-free Languages with Nondeterministic Stack RNNs,Brian DuSell|David Chiang,38939503
WS-1,WS-1.185,Generating Narrative Text in a Switching Dynamical System,Noah Weber|Leena Shekhar|Heeyoung Kwon|Niranjan Balasubramanian|Nathanael Chambers,38939504
WS-1,WS-1.189,What Are You Trying to Do? Semantic Typing of Event Processes,Muhao Chen|Hongming Zhang|Haoyu Wang|Dan Roth,38939505
WS-1,WS-1.195,A Corpus for Outbreak Detection of Diseases Prevalent in Latin America,Antonella Dellanzo|Viviana Cotik|Jose Ochoa-Luna,38939506
WS-1,WS-1.202,Are Pretrained Language Models Symbolic Reasoners over Knowledge?,Nora Kassner|Benno Krojer|Hinrich Schütze,38939507
WS-1,WS-1.21,On the Frailty of Universal POS Tags for Neural UD Parsers,Mark Anderson|Carlos Gómez-Rodríguez,38939468
WS-1,WS-1.218,Understanding Linguistic Accommodation in Code-Switched Human-Machine Dialogues,Tanmay Parekh|Emily Ahn|Yulia Tsvetkov|Alan W Black,38939508
WS-1,WS-1.221,Identifying robust markers of Parkinson’s disease in typing behaviour using a CNN-LSTM network,Neil Dhir|Mathias Edman|Álvaro Sanchez Ferro|Tom Stafford|Colin Bannard,38939509
WS-1,WS-1.222,An Empirical Study on Model-agnostic Debiasing Strategies for Robust Natural Language Inference,Tianyu Liu|Zheng Xin|Xiaoan Ding|Baobao Chang|Zhifang Sui,38939510
WS-1,WS-1.226,Cloze Distillation Improves Psychometric Predictive Power,Tiwalayo Eisape|Noga Zaslavsky|Roger Levy,38939511
WS-1,WS-1.234,Disentangling dialects: a neural approach to Indo-Aryan historical phonology and subgrouping,Chundra Cathcart|Taraka Rama,38939512
WS-1,WS-1.247,"A Dataset for Linguistic Understanding, Visual Evaluation, and Recognition of Sign Languages: The K-RSL",Alfarabi Imashev|Medet Mukushev|Vadim Kimmelman|Anara Sandygulova,38939513
WS-1,WS-1.258,From Dataset Recycling to Multi-Property Extraction and Beyond,Tomasz Dwojak|Michał Pietruszka|Łukasz Borchmann|Jakub Chłędowski|Filip Graliński,38939514
WS-1,WS-1.259,How well does surprisal explain N400 amplitude under different experimental conditions?,James Michaelov|Benjamin Bergen,38939515
WS-1,WS-1.26,Classifying Syntactic Errors in Learner Language,Leshem Choshen|Dmitry Nikolaev|Yevgeni Berzak|Omri Abend,38939469
WS-1,WS-1.28,How to Probe Sentence Embeddings in Low-Resource Languages: On Structural Design Choices for Probing Task Evaluation,Steffen Eger|Johannes Daxenberger|Iryna Gurevych,38939470
WS-1,WS-1.29,Understanding the Source of Semantic Regularities in Word Embeddings,Hsiao-Yu Chiang|Jose Camacho-Collados|Zachary Pardos,38939471
WS-1,WS-1.38,Finding The Right One and Resolving it,Payal Khullar|Arghya Bhattacharya|Manish Shrivastava,38939472
WS-1,WS-1.49,Bridging Information-Seeking Human Gaze and Machine Reading Comprehension,Jonathan Malmaud|Roger Levy|Yevgeni Berzak,38939473
WS-1,WS-1.510_F,Dynamic Data Selection for Curriculum Learning via Ability Estimation,John P. Lalor|Hong Yu,38940641
WS-1,WS-1.561_F,From Language to Language-ish: How Brain-Like is an LSTM's Representation of Nonsensical Language Stimuli?,Maryam Hashemzadeh|Greta Kaufeld|Martha White|Andrea E. Martin|Alona Fyshe,38940642
WS-1,WS-1.59,A Corpus of Very Short Scientific Summaries,Yifan Chen|Tamara Polajnar|Colin Batchelor|Simone Teufel,38939474
WS-1,WS-1.61,Recurrent babbling: evaluating the acquisition of grammar from limited input data,Ludovica Pannitto|Aurélie Herbelot,38939475
WS-1,WS-1.63,Explaining the efficiency of communication: How communicators can reduce their computational burden through interaction,Jacqueline Van Arkel|Marieke Woensdregt|Mark Dingemanse|Mark Blokpoel,38939476
WS-1,WS-1.69,Acquiring language from speech by learning to remember and predict,Cory Shain|Micha Elsner,38939477
WS-1,WS-1.69_F,"Stay Hungry, Stay Focused: Generating Informative and Specific Questions in Information-Seeking Conversations",Peng Qi|Yuhao Zhang|Christopher D. Manning,38940640
WS-1,WS-1.7,Enriching Word Embeddings with Temporal and Spatial Information,Hongyu Gong|Suma Bhat|Pramod Viswanath,38939463
WS-1,WS-1.70,Identifying Incorrect Labels in the CoNLL-2003 Corpus,Frederick Reiss|Hong Xu|Bryan Cutler|Karthik Muthuraman|Zachary Eichenberger,38939478
WS-1,WS-1.73,When is a bishop not like a rook? When it's like a rabbi! Multi-prototype BERT embeddings for estimating semantic relationships,Gabriella Chronis|Katrin Erk,38939479
WS-1,WS-1.8,Interpreting Attention Models with Human Visual Attention in Machine Reading Comprehension,Ekta Sood|Simon Tannert|Diego Frassinelli|Andreas Bulling|Ngoc Thang Vu,38939464
WS-1,WS-1.83,Processing effort is a poor predictor of cross-linguistic word order frequency,Brennan Gonering|Emily Morgan,38939480
WS-1,WS-1.88,Relations between comprehensibility and adequacy errors in machine translation output,Maja Popović,38939481
WS-1,WS-1.96,Cross-lingual Embeddings Reveal Universal and Lineage-Specific Patterns in Grammatical Gender Assignment,Hartger Veeman|Marc Allassonnière-Tang|Aleksandrs Berdicevskis|Ali Basirat,38939482
WS-1,WS-1.Shared1,﻿Hitachi at MRP 2020: Text-to-Graph-Notation Transducer,Hiroaki Ozaki|Gaku Morio|Yuta Koreeda|Terufumi Morishita|Toshinori Miyoshi,38941228
WS-1,WS-1.Shared2,HIT-SCIR at MRP 2020: Transition-based Parser and Iterative Inference Parser,Longxu Dou|Yunlong Feng|Yuqiu Ji|Wanxiang Che|Ting Liu,38941229
WS-1,WS-1.Shared3,HUJI-KU at MRP 2020: Two Transition-based Neural Parsers,Ofir Arviv|Ruixiang Cui|Daniel Hershcovich,38941230
WS-1,WS-1.Shared4,JBNU at MRP 2020: AMR Parsing Using a Joint State Model for Graph-Sequence Iterative Inference,Seung-Hoon Na|Jinwoo Min,38941231
WS-1,WS-1.Shared5,ÚFAL at MRP 2020: Permutation-invariant Semantic Parsing in PERIN,David Samuel|Milan Straka,38941232
WS-1,WS-1.Shared6,FGD at MRP 2020: Prague Tectogrammatical Graphs,Daniel Zeman|Jan Hajic,38941233
WS-1,WS-1.Shared7,DRS at MRP 2020: Dressing up Discourse Representation Structures as Graphs,Lasha Abzianidze|Johan Bos|Stephan Oepen,38941234
WS-1,WS-1.Shared8,MRP 2020: The Second Shared Task on Cross-Framework and Cross-Linguistic Meaning Representation Parsing,Stephan Oepen|Omri Abend|Lasha Abzianidze|Johan Bos|Jan Hajic|Daniel Hershcovich|Bin Li|Tim O'Gorman|Nianwen Xue|Daniel Zeman,38941235
WS-10,WS-10.11,Geocoding with multi-level loss for spatial language representation,Sayali Kulkarni|Shailee Jain|Mohammad Javad Hosseini|Jason Baldridge|Eugene Ie|Li Zhang,38940083
WS-10,WS-10.12,SpaRTQA: A Textual Question Answering Benchmark for Spatial Reasoning,Roshanak Mirzaee|Hossein Rajaby Faghihi|Parisa Kordjamshidi,38940084
WS-10,WS-10.13,Vision-and-Language Navigation by Reasoning over Spatial Configurations,Yue Zhang|Quan Guo|Parisa Kordjamshidi,38940085
WS-10,WS-10.1453,RMM: A Recursive Mental Model for Dialogue Navigation,Homero Roman Roman|Yonatan Bisk|Jesse Thomason|Asli Celikyilmaz|Jianfeng Gao,38940095
WS-10,WS-10.1595,Robust and Interpretable Grounding of Spatial References with Relation Networks,Tsung-Yen Yang|Andrew S. Lan|Karthik Narasimhan,38940094
WS-10,WS-10.2,They are not all alike: answering different spatial questions requires different grounding strategies,Alberto Testoni|Claudio Greco|Tobias Bianchi|Mauricio Mazuecos|Agata Marcante|Luciana Benotti|Raffaella Bernardi,38940076
WS-10,WS-10.2904,ARRAMON: A Joint Navigation-Assembly Instruction Interpretation Task in Dynamic Environments,Hyounghun Kim|Abhay Zala|Graham Burri|Hao Tan|Mohit Bansal,38940093
WS-10,WS-10.3,"Categorisation, Typicality & Object-Specific Features in Spatial Referring Expressions",Adam Richard-Bollans|Anthony Cohn|Lucía Gómez Álvarez,38940077
WS-10,WS-10.3302,Visually-Grounded Planning without Vision: Language Models Infer Detailed Plans from High-level Instructions,Peter A. Jansen,38940098
WS-10,WS-10.3382,Decoding Language Spatial Relations to 2D Spatial Arrangements,Gorjan Radevski|Guillem Collell|Marie-Francine Moens|Tinne Tuytelaars,38940092
WS-10,WS-10.3466,Language-Conditioned Feature Pyramids for Visual Selection Tasks,Taichi Iki|Akiko Aizawa,38940091
WS-10,WS-10.5,BERT-based Spatial Information Extraction,Hyeong Jin Shin|Jeong Yeon Park|Dae Bum Yuk|Jae Sung Lee,38940078
WS-10,WS-10.6,A Cognitively Motivated Approach to Spatial Information Extraction,Chao Xu|Emmanuelle-Anna Dietz Saldanha|Dagmar Gromann|Beihai Zhou,38940079
WS-10,WS-10.676,A Linguistic Analysis of Visually Grounded Dialogues Based on Spatial Expressions,Takuma Udagawa|Takato Yamazaki|Akiko Aizawa,38940097
WS-10,WS-10.7,A Hybrid Deep Learning Approach for Spatial Trigger Extraction from Radiology Reports,Surabhi Datta|Kirk Roberts,38940080
WS-10,WS-10.8,An Element-wise Visual-enhanced BiLSTM-CRF Model for Location Name Recognition,Takuya Komada|Takashi Inui,38940081
WS-10,WS-10.857,LiMiT: The Literal Motion in Text Dataset,Irene Manotas|Ngoc Phuoc An Vo|Vadim Sheinin,38940096
WS-10,WS-10.9,Retouchdown: Releasing Touchdown on StreetLearn as a Public Resource for Language Grounding Tasks in Street View,Harsh Mehta|Yoav Artzi|Jason Baldridge|Eugene Ie|Piotr Mirowski,38940082
WS-11,WS-11.10,Multilingual BERT Learns Abstract Case Representations,Isabel Papadimitriou|Ethan A. Chi|Richard Futrell|Kyle Mahowald,38939802
WS-11,WS-11.1093-WS11,"Parsing with Multilingual BERT, a Small Corpus, and a Small Treebank",Ethan C. Chau|Lucy H. Lin|Noah A. Smith,38940630
WS-11,WS-11.11,Keyword Spotting: A quick-and-dirty method for extracting typological features of language from grammatical descriptions,Harald Hammarström,38939803
WS-11,WS-11.12,Imputing typological values via phylogenetic inference,Gerhard Jäger,38939793
WS-11,WS-11.13,DEmA: the Pavia Diachronic Emergence of Alignment database,Sonia Cristofaro|Guglielmo Inglese,38939804
