UID,session_name,starttime,endtime,timezone,zoom_join_link
cl.1482,3B,2020-07-06T13:00:00Z,2020-07-06T14:00:00Z,UTC,https://zoom.us/j/96380723235
cl.1482,4B,2020-07-06T18:00:00Z,2020-07-06T19:00:00Z,UTC,https://zoom.us/j/92818205051
cl.1508,4A,2020-07-06T17:00:00Z,2020-07-06T18:00:00Z,UTC,https://zoom.us/j/99765897930
cl.1508,5B,2020-07-06T21:00:00Z,2020-07-06T22:00:00Z,UTC,https://zoom.us/j/93195309046
cl.1543,13A,2020-07-08T12:00:00Z,2020-07-08T13:00:00Z,UTC,https://zoom.us/j/92770418210
cl.1543,14B,2020-07-08T18:00:00Z,2020-07-08T19:00:00Z,UTC,https://zoom.us/j/91164222207
cl.1547,9A,2020-07-07T17:00:00Z,2020-07-07T18:00:00Z,UTC,https://zoom.us/j/92511745456
cl.1547,10A,2020-07-07T20:00:00Z,2020-07-07T21:00:00Z,UTC,https://zoom.us/j/92950490812
cl.1550,6A,2020-07-07T05:00:00Z,2020-07-07T06:00:00Z,UTC,https://zoom.us/j/97243878419
cl.1550,8B,2020-07-07T13:00:00Z,2020-07-07T14:00:00Z,UTC,https://zoom.us/j/98008069894
cl.1552,7A,2020-07-07T08:00:00Z,2020-07-07T09:00:00Z,UTC,https://zoom.us/j/99856112071
cl.1552,8B,2020-07-07T13:00:00Z,2020-07-07T14:00:00Z,UTC,https://zoom.us/j/99082908217
cl.1554,7A,2020-07-07T08:00:00Z,2020-07-07T09:00:00Z,UTC,https://zoom.us/j/97410112807
cl.1554,8A,2020-07-07T12:00:00Z,2020-07-07T13:00:00Z,UTC,https://zoom.us/j/97746901084
