UID,session_name,starttime,endtime,timezone,zoom_join_link
demo.24,D3A-1,2020-07-06T12:00:00Z,2020-07-06T12:45:00Z,UTC,https://zoom.us/j/93300035806
demo.24,D3A-2,2020-07-07T12:00:00Z,2020-07-07T12:45:00Z,UTC,https://zoom.us/j/99534452662
demo.28,D4B-2,2020-07-07T17:45:00Z,2020-07-07T18:30:00Z,UTC,https://zoom.us/j/92268869778
demo.28,D5A-3,2020-07-08T20:00:00Z,2020-07-08T20:45:00Z,UTC,https://zoom.us/j/98520955854
demo.31,D1B-3,2020-07-08T05:45:00Z,2020-07-08T06:30:00Z,UTC,https://zoom.us/j/91544655966
demo.31,D3B-3,2020-07-08T12:45:00Z,2020-07-08T13:30:00Z,UTC,https://zoom.us/j/98264741836
demo.32,D2A-1,2020-07-06T08:00:00Z,2020-07-06T08:45:00Z,UTC,https://zoom.us/j/94407804143
demo.32,D3C-1,2020-07-06T13:30:00Z,2020-07-06T14:15:00Z,UTC,https://zoom.us/j/97559362414
demo.33,D2B-3,2020-07-08T08:45:00Z,2020-07-08T09:30:00Z,UTC,https://zoom.us/j/91738062231
demo.33,D4C-3,2020-07-08T18:30:00Z,2020-07-08T19:15:00Z,UTC,https://zoom.us/j/98280589301
demo.35,D1A-1,2020-07-06T05:00:00Z,2020-07-06T05:45:00Z,UTC,https://zoom.us/j/95396378064
demo.35,D4C-1,2020-07-06T18:30:00Z,2020-07-06T19:15:00Z,UTC,https://zoom.us/j/93248316503
demo.37,D5A-2,2020-07-07T20:00:00Z,2020-07-07T20:45:00Z,UTC,https://zoom.us/j/95714082947
demo.37,D5A-3,2020-07-08T20:00:00Z,2020-07-08T20:45:00Z,UTC,https://zoom.us/j/98126774511
demo.39,D4C-2,2020-07-07T18:30:00Z,2020-07-07T19:15:00Z,UTC,https://zoom.us/j/93990886306
demo.39,D5C-2,2020-07-07T21:30:00Z,2020-07-07T22:15:00Z,UTC,https://zoom.us/j/91533345888
demo.41,D4B-2,2020-07-07T17:45:00Z,2020-07-07T18:30:00Z,UTC,https://zoom.us/j/96858912158
demo.41,D5B-2,2020-07-07T20:45:00Z,2020-07-07T21:30:00Z,UTC,https://zoom.us/j/91897447577
demo.44,D1C-1,2020-07-06T06:30:00Z,2020-07-06T07:15:00Z,UTC,https://zoom.us/j/95748388622
demo.44,D3C-1,2020-07-06T13:30:00Z,2020-07-06T14:15:00Z,UTC,https://zoom.us/j/93896899571
demo.45,D4A-2,2020-07-07T17:00:00Z,2020-07-07T17:45:00Z,UTC,https://zoom.us/j/93345517181
