UID,session_name,starttime,endtime,timezone,zoom_join_link
main.1,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/96052315754
main.1,5B,2020-07-06T21:00:00Z,2020-07-06T22:00:00Z,UTC,https://zoom.us/j/97381538204
main.2,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/97434118529
main.2,2B,2020-07-06T09:00:00Z,2020-07-06T10:00:00Z,UTC,https://zoom.us/j/99777353880
main.3,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/96785589460
main.3,3A,2020-07-06T12:00:00Z,2020-07-06T13:00:00Z,UTC,https://zoom.us/j/94721455599
main.4,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/98597476392
main.4,2B,2020-07-06T09:00:00Z,2020-07-06T10:00:00Z,UTC,https://zoom.us/j/91128878044
main.5,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/99140014394
main.5,3B,2020-07-06T13:00:00Z,2020-07-06T14:00:00Z,UTC,https://zoom.us/j/91838972770
main.6,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/94718390730
main.6,2B,2020-07-06T09:00:00Z,2020-07-06T10:00:00Z,UTC,https://zoom.us/j/97029594616
main.7,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/93902447293
main.7,2B,2020-07-06T09:00:00Z,2020-07-06T10:00:00Z,UTC,https://zoom.us/j/97946165211
main.8,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/99853246593
main.8,5B,2020-07-06T21:00:00Z,2020-07-06T22:00:00Z,UTC,https://zoom.us/j/95536446854
main.9,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/95510596218
main.9,3A,2020-07-06T12:00:00Z,2020-07-06T13:00:00Z,UTC,https://zoom.us/j/99548726237
main.10,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/94521964718
main.10,3B,2020-07-06T13:00:00Z,2020-07-06T14:00:00Z,UTC,https://zoom.us/j/98569965368
main.11,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/92706001770
main.11,3A,2020-07-06T12:00:00Z,2020-07-06T13:00:00Z,UTC,https://zoom.us/j/95450985756
main.12,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/96990548561
main.12,4A,2020-07-06T17:00:00Z,2020-07-06T18:00:00Z,UTC,https://zoom.us/j/92488817562
main.13,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/97532604198
main.13,3B,2020-07-06T13:00:00Z,2020-07-06T14:00:00Z,UTC,https://zoom.us/j/97890771472
main.14,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/91422407584
main.14,3B,2020-07-06T13:00:00Z,2020-07-06T14:00:00Z,UTC,https://zoom.us/j/95631652593
main.15,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/95527192899
main.15,3B,2020-07-06T13:00:00Z,2020-07-06T14:00:00Z,UTC,https://zoom.us/j/94587471213
main.16,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/96817497272
main.16,5A,2020-07-06T20:00:00Z,2020-07-06T21:00:00Z,UTC,https://zoom.us/j/97108942431
main.17,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/95381775722
main.17,2A,2020-07-06T08:00:00Z,2020-07-06T09:00:00Z,UTC,https://zoom.us/j/96659874329
main.18,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/93729351266
main.18,5A,2020-07-06T20:00:00Z,2020-07-06T21:00:00Z,UTC,https://zoom.us/j/98673726201
main.19,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/99891020309
main.19,2A,2020-07-06T08:00:00Z,2020-07-06T09:00:00Z,UTC,https://zoom.us/j/99555254101
main.20,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/92152030399
main.20,3A,2020-07-06T12:00:00Z,2020-07-06T13:00:00Z,UTC,https://zoom.us/j/94917645529
main.21,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/95150426719
main.21,2A,2020-07-06T08:00:00Z,2020-07-06T09:00:00Z,UTC,https://zoom.us/j/94184714962
main.22,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/94122994570
main.22,4B,2020-07-06T18:00:00Z,2020-07-06T19:00:00Z,UTC,https://zoom.us/j/92211389652
main.23,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/94563554117
main.23,3A,2020-07-06T12:00:00Z,2020-07-06T13:00:00Z,UTC,https://zoom.us/j/92595799400
