UID,session_name,starttime,endtime,timezone,zoom_join_link
srw.2,9A,2020-07-07T17:00:00Z,2020-07-07T18:00:00Z,UTC,https://zoom.us/j/95699746685
srw.2,15A,2020-07-08T20:00:00Z,2020-07-08T21:00:00Z,UTC,https://zoom.us/j/96837053577
srw.5,2A,2020-07-06T08:00:00Z,2020-07-06T09:00:00Z,UTC,https://zoom.us/j/93278433931
srw.5,14A,2020-07-08T17:00:00Z,2020-07-08T18:00:00Z,UTC,https://zoom.us/j/93332960285
srw.9,2A,2020-07-06T08:00:00Z,2020-07-06T09:00:00Z,UTC,https://zoom.us/j/99618389924
srw.9,14A,2020-07-08T17:00:00Z,2020-07-08T18:00:00Z,UTC,https://zoom.us/j/91723289082
srw.14,2A,2020-07-06T08:00:00Z,2020-07-06T09:00:00Z,UTC,https://zoom.us/j/93754596223
srw.14,12A,2020-07-08T08:00:00Z,2020-07-08T09:00:00Z,UTC,https://zoom.us/j/95765365011
srw.15,1B,2020-07-06T06:00:00Z,2020-07-06T07:00:00Z,UTC,https://zoom.us/j/93468134389
srw.16,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/96141587180
srw.16,12B,2020-07-08T09:00:00Z,2020-07-08T10:00:00Z,UTC,https://zoom.us/j/91640607988
srw.17,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/95587857568
srw.17,15A,2020-07-08T20:00:00Z,2020-07-08T21:00:00Z,UTC,https://zoom.us/j/99666475671
srw.18,2A,2020-07-06T08:00:00Z,2020-07-06T09:00:00Z,UTC,https://zoom.us/j/98257429421
srw.18,4A,2020-07-06T17:00:00Z,2020-07-06T18:00:00Z,UTC,https://zoom.us/j/99726908640
srw.19,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/98566105847
srw.19,7A,2020-07-07T08:00:00Z,2020-07-07T09:00:00Z,UTC,https://zoom.us/j/96475200846
srw.22,3A,2020-07-06T12:00:00Z,2020-07-06T13:00:00Z,UTC,https://zoom.us/j/94967984817
srw.22,15A,2020-07-08T20:00:00Z,2020-07-08T21:00:00Z,UTC,https://zoom.us/j/92532770894
srw.28,9B,2020-07-07T18:00:00Z,2020-07-07T19:00:00Z,UTC,https://zoom.us/j/91311598993
srw.28,15A,2020-07-08T20:00:00Z,2020-07-08T21:00:00Z,UTC,https://zoom.us/j/95177575947
srw.35,1A,2020-07-06T05:00:00Z,2020-07-06T06:00:00Z,UTC,https://zoom.us/j/93678253668
srw.35,11A,2020-07-08T05:00:00Z,2020-07-08T06:00:00Z,UTC,https://zoom.us/j/94522695946
srw.36,1B,2020-07-06T06:00:00Z,2020-07-06T07:00:00Z,UTC,https://zoom.us/j/97445163158
srw.36,12A,2020-07-08T08:00:00Z,2020-07-08T09:00:00Z,UTC,https://zoom.us/j/97477341631
srw.39,1B,2020-07-06T06:00:00Z,2020-07-06T07:00:00Z,UTC,https://zoom.us/j/94207402059
srw.39,9B,2020-07-07T18:00:00Z,2020-07-07T19:00:00Z,UTC,https://zoom.us/j/91673134753
srw.42,4A,2020-07-06T17:00:00Z,2020-07-06T18:00:00Z,UTC,https://zoom.us/j/95788599784
srw.42,14A,2020-07-08T17:00:00Z,2020-07-08T18:00:00Z,UTC,https://zoom.us/j/97473165380
srw.46,3A,2020-07-06T12:00:00Z,2020-07-06T13:00:00Z,UTC,https://zoom.us/j/91950327476
srw.46,14A,2020-07-08T17:00:00Z,2020-07-08T18:00:00Z,UTC,https://zoom.us/j/98779497472
srw.48,8B,2020-07-07T13:00:00Z,2020-07-07T14:00:00Z,UTC,https://zoom.us/j/98138254309
srw.48,13A,2020-07-08T12:00:00Z,2020-07-08T13:00:00Z,UTC,https://zoom.us/j/92178877253
srw.49,2B,2020-07-06T09:00:00Z,2020-07-06T10:00:00Z,UTC,https://zoom.us/j/94926557991
srw.49,3A,2020-07-06T12:00:00Z,2020-07-06T13:00:00Z,UTC,https://zoom.us/j/94275493818
srw.52,1B,2020-07-06T06:00:00Z,2020-07-06T07:00:00Z,UTC,https://zoom.us/j/95610810864
srw.52,7A,2020-07-07T08:00:00Z,2020-07-07T09:00:00Z,UTC,https://zoom.us/j/97524408720
srw.53,2B,2020-07-06T09:00:00Z,2020-07-06T10:00:00Z,UTC,https://zoom.us/j/93572698912
srw.53,11B,2020-07-08T06:00:00Z,2020-07-08T07:00:00Z,UTC,https://zoom.us/j/95076979492
srw.54,2B,2020-07-06T09:00:00Z,2020-07-06T10:00:00Z,UTC,https://zoom.us/j/91489894357
srw.54,11B,2020-07-08T06:00:00Z,2020-07-08T07:00:00Z,UTC,https://zoom.us/j/95329796551
srw.55,2B,2020-07-06T09:00:00Z,2020-07-06T10:00:00Z,UTC,https://zoom.us/j/96133103458
srw.55,11A,2020-07-08T05:00:00Z,2020-07-08T06:00:00Z,UTC,https://zoom.us/j/95628996447
srw.58,6A,2020-07-07T05:00:00Z,2020-07-07T06:00:00Z,UTC,https://zoom.us/j/98221240007
srw.58,12A,2020-07-08T08:00:00Z,2020-07-08T09:00:00Z,UTC,https://zoom.us/j/99658173297
srw.69,3A,2020-07-06T12:00:00Z,2020-07-06T13:00:00Z,UTC,https://zoom.us/j/92617482842
srw.69,14B,2020-07-08T18:00:00Z,2020-07-08T19:00:00Z,UTC,https://zoom.us/j/98566526963
srw.79,3B,2020-07-06T13:00:00Z,2020-07-06T14:00:00Z,UTC,https://zoom.us/j/93395182207
srw.79,12B,2020-07-08T09:00:00Z,2020-07-08T10:00:00Z,UTC,https://zoom.us/j/91249660406
srw.82,3B,2020-07-06T13:00:00Z,2020-07-06T14:00:00Z,UTC,https://zoom.us/j/97235098471
srw.82,13A,2020-07-08T12:00:00Z,2020-07-08T13:00:00Z,UTC,https://zoom.us/j/99339856765
srw.84,3B,2020-07-06T13:00:00Z,2020-07-06T14:00:00Z,UTC,https://zoom.us/j/92419809994
srw.84,14B,2020-07-08T18:00:00Z,2020-07-08T19:00:00Z,UTC,https://zoom.us/j/96434913808
srw.85,9B,2020-07-07T18:00:00Z,2020-07-07T19:00:00Z,UTC,https://zoom.us/j/99355708807
srw.85,15B,2020-07-08T21:00:00Z,2020-07-08T22:00:00Z,UTC,https://zoom.us/j/96920729247
srw.90,6A,2020-07-07T05:00:00Z,2020-07-07T06:00:00Z,UTC,https://zoom.us/j/96316172412
srw.90,7A,2020-07-07T08:00:00Z,2020-07-07T09:00:00Z,UTC,https://zoom.us/j/92535641111
srw.95,9A,2020-07-07T17:00:00Z,2020-07-07T18:00:00Z,UTC,https://zoom.us/j/94126847773
srw.95,13A,2020-07-08T12:00:00Z,2020-07-08T13:00:00Z,UTC,https://zoom.us/j/97801405942
