UID,title,authors,abstract,keywords,track,paper_type,pdf_url
srw.135,Logical Inferences with Comparatives and Generalized Quantifiers,Izumi Haruta|Koji Mineshima|Daisuke Bekki,"Comparative constructions pose a challenge in Natural Language Inference (NLI), which is the task of determining whether a text entails a hypothesis. Comparatives are structurally complex in that they interact with other linguistic phenomena such as quantifiers, numerals, and lexical antonyms. In formal semantics, there is a rich body of work on comparatives and gradable expressions using the notion of degree. However, a logical inference system for comparatives has not been sufficiently developed for use in the NLI task. In this paper, we present a compositional semantics that maps various comparative constructions in English to semantic representations via Combinatory Categorial Grammar (CCG) parsers and combine it with an inference system based on automated theorem proving. We evaluate our system on three NLI datasets that contain complex logical inferences with comparatives, generalized quantifiers, and numerals. We show that the system outperforms previous logic-based systems as well as recent deep learning-based models.",Logical Inferences|Comparative constructions|NLI task|automated proving,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.35.pdf
srw.109,Understanding Points of Correspondence between Sentences for Abstractive Summarization,Logan Lebanoff|John Muchovej|Franck Dernoncourt|Doo Soon Kim|Lidan Wang|Walter Chang|Fei Liu,"Fusing sentences containing disparate content is a remarkable human ability that helps create informative and succinct summaries. Such a simple task for humans has remained challenging for modern abstractive summarizers, substantially restricting their applicability in real-world scenarios. In this paper, we present an investigation into fusing sentences drawn from a document by introducing the notion of points of correspondence, which are cohesive devices that tie any two sentences together into a coherent text. The types of points of correspondence are delineated by text cohesion theory, covering pronominal and nominal referencing, repetition and beyond. We create a dataset containing the documents, source and fusion sentences, and human annotations of points of correspondence between sentences. Our dataset bridges the gap between coreference resolution and summarization. It is publicly shared to serve as a basis for future work to measure the success of sentence fusion systems.",Abstractive Summarization|coreference resolution|summarization|cohesive devices,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.26.pdf
srw.2,Checkpoint Reranking: An Approach to Select Better Hypothesis for Neural Machine Translation Systems,Vinay Pandramish|Dipti Misra Sharma,"In this paper, we propose a method of re-ranking the outputs of Neural Machine Translation (NMT) systems. After the decoding process, we select a few last iteration outputs in the training process as the N-best list. After training a Neural Machine Translation (NMT) baseline system, it has been observed that these iteration outputs have an oracle score higher than baseline up to 1.01 BLEU points compared to the last iteration of the trained system.We come up with a ranking mechanism by solely focusing on the decoder's ability to generate distinct tokens and without the usage of any language model or data. With this method, we achieved a translation improvement up to +0.16 BLEU points over baseline.We also evaluate our approach by applying the coverage penalty to the training process.In cases of moderate coverage penalty, the oracle scores are higher than the final iteration up to +0.99 BLEU points, and our algorithm gives an improvement up to +0.17 BLEU points.With excessive penalty, there is a decrease in translation quality compared to the baseline system. Still, an increase in oracle scores up to +1.30 is observed with the re-ranking algorithm giving an improvement up to +0.15 BLEU points is found in case of excessive penalty.The proposed re-ranking method is a generic one and can be extended to other language pairs as well.",Neural Systems|Checkpoint Reranking|Neural systems|decoding process,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.38.pdf
srw.122,Exploring the Role of Context to Distinguish Rhetorical and Information-Seeking Questions,Yuan Zhuang|Ellen Riloff,"Social media posts often contain questions, but many of the questions are rhetorical and do not seek information. Our work studies the problem of distinguishing rhetorical and information-seeking questions on Twitter. Most work has focused on features of the question itself, but we hypothesize that the prior context plays a role too. This paper introduces a new dataset containing questions in tweets paired with their prior tweets to provide context. We create classification models to assess the difficulty of distinguishing rhetorical and information-seeking questions, and experiment with different properties of the prior context. Our results show that the prior tweet and topic features can improve performance on this task.",distinguishing questions|classification models|Rhetorical Questions|features,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.41.pdf
srw.48,Pre-training via Leveraging Assisting Languages for Neural Machine Translation,Haiyue Song|Raj Dabre|Zhuoyuan Mao|Fei Cheng|Sadao Kurohashi|Eiichiro Sumita,"Sequence-to-sequence (S2S) pre-training using large monolingual data is known to improve performance for various S2S NLP tasks. However, large monolingual corpora might not always be available for the languages of interest (LOI). Thus, we propose to exploit monolingual corpora of other languages to complement the scarcity of monolingual corpora for the LOI. We utilize script mapping (Chinese to Japanese) to increase the similarity (number of cognates) between the monolingual corpora of helping languages and LOI. An empirical case study of low-resource Japanese-English neural machine translation (NMT) reveals that leveraging large Chinese and French monolingual corpora can help overcome the shortage of Japanese and English monolingual corpora, respectively, for S2S pre-training. Using only Chinese and French monolingual corpora, we were able to improve Japanese-English translation quality by up to 8.5 BLEU in low-resource scenarios.",Neural Translation|S2S tasks|LOI|low-resource translation,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.37.pdf
srw.49,SCAR: Sentence Compression using Autoencoders for Reconstruction,Chanakya Malireddy|Tirth Maniar|Manish Shrivastava,"Sentence compression is the task of shortening a sentence while retaining its meaning. Most methods proposed for this task rely on labeled or paired corpora (containing pairs of verbose and compressed sentences), which is often expensive to collect. To overcome this limitation, we present a novel unsupervised deep learning framework (SCAR) for deletion-based sentence compression. SCAR is primarily composed of two encoder-decoder pairs: a compressor and a reconstructor. The compressor masks the input, and the reconstructor tries to regenerate it. The model is entirely trained on unlabeled data and does not require additional inputs such as explicit syntactic information or optimal compression length. SCAR’s merit lies in the novel Linkage Loss function, which correlates the compressor and its effect on reconstruction, guiding it to drop inferable tokens. SCAR achieves higher ROUGE scores on benchmark datasets than the existing state-of-the-art methods and baselines. We also conduct a user study to demonstrate the application of our model as a text highlighting system. Using our model to underscore salient information facilitates speed-reading and reduces the time required to skim a document.",Sentence Compression|Reconstruction|deletion-based compression|reconstructor,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.13.pdf
srw.123,Embeddings of Label Components for Sequence Labeling: A Case Study of Fine-grained Named Entity Recognition,Takuma Kato|Kaori Abe|Hiroki Ouchi|Shumpei Miyawaki|Jun Suzuki|Kentaro Inui,"In general, the labels used in sequence labeling consist of different types of elements.For example, IOB-format entity labels, such as B-Person and I-Person, can be decomposed into span (B and I) and type information (Person).However, while most sequence labeling models do not consider such label components, the shared components across labels, such as Person, can be beneficial for label prediction.In this work, we propose to integrate label component information as embeddings into models.Through experiments on English and Japanese fine-grained named entity recognition, we demonstrate that the proposed method improves performance, especially for instances with low-frequency labels.",Sequence Labeling|Fine-grained Recognition|label prediction|English recognition,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.30.pdf
srw.137,Unsupervised Multilingual Sentence Embeddings for Parallel Corpus Mining,Ivana Kvapilíková|Mikel Artetxe|Gorka Labaka|Eneko Agirre|Ondřej Bojar,"Existing models of multilingual sentence embeddings require large parallel data resources which are not available for low-resource languages. We propose a novel unsupervised method to derive multilingual sentence embeddings relying only on monolingual data. We first produce a synthetic parallel corpus using unsupervised machine translation, and use it to fine-tune a pretrained cross-lingual masked language model (XLM) to derive the multilingual sentence representations. The quality of the representations is evaluated on two parallel corpus mining tasks with improvements of up to 22 F1 points over vanilla XLM. In addition, we observe that a single synthetic bilingual corpus is able to improve results for other language pairs.",Unsupervised Embeddings|Parallel Mining|multilingual embeddings|parallel tasks,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.34.pdf
srw.127,How much complexity does an RNN architecture need to learn syntax-sensitive dependencies?,Gantavya Bhatt|Hritik Bansal|Rishubh Singh|Sumeet Agarwal,"Long short-term memory (LSTM) networks and their variants are capable of encapsulating long-range dependencies, which is evident from their performance on a variety of linguistic tasks. On the other hand, simple recurrent networks (SRNs), which appear more biologically grounded in terms of synaptic connections, have generally been less successful at capturing long-range dependencies as well as the loci of grammatical errors in an unsupervised setting. In this paper, we seek to develop models that bridge the gap between biological plausibility and linguistic competence. We propose a new architecture, the Decay RNN, which incorporates the decaying nature of neuronal activations and models the excitatory and inhibitory connections in a population of neurons. Besides its biological inspiration, our model also shows competitive performance relative to LSTMs on subject-verb agreement, sentence grammaticality, and language modeling tasks. These results provide some pointers towards probing the nature of the inductive biases required for RNN architectures to model linguistic phenomena successfully.",linguistic tasks|unsupervised setting|sentence grammaticality|language tasks,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.33.pdf
srw.5,Topic Balancing with Additive Regularization of Topic Models,Eugeniia Veselova|Konstantin Vorontsov,"This article proposes a new approach for building topic models on unbalanced collections in topic modelling, based on the existing methods and our experiments with such methods. Real-world data collections contain topics in various proportions, and often documents of the relatively small theme become distributed all over the larger topics instead of being grouped into one topic. To address this issue, we design a new regularizer for Theta and Phi matrices in probabilistic Latent Semantic Analysis (pLSA) model. We make sure this regularizer increases the quality of topic models, trained on unbalanced collections. Besides, we conceptually support this regularizer by our experiments.",Topic Balancing|unbalanced modelling|probabilistic model|Additive Models,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.9.pdf
