UID,session_name,starttime,endtime,timezone,zoom_join_link
tacl.1709,6B,2020-07-07T06:00:00Z,2020-07-07T07:00:00Z,UTC,https://zoom.us/j/96590105613
tacl.1709,8B,2020-07-07T13:00:00Z,2020-07-07T14:00:00Z,UTC,https://zoom.us/j/98572534304
tacl.1720,4A,2020-07-06T17:00:00Z,2020-07-06T18:00:00Z,UTC,https://zoom.us/j/97896468186
tacl.1720,5A,2020-07-06T20:00:00Z,2020-07-06T21:00:00Z,UTC,https://zoom.us/j/94696909873
tacl.1727,4B,2020-07-06T18:00:00Z,2020-07-06T19:00:00Z,UTC,https://zoom.us/j/99534470603
tacl.1727,5B,2020-07-06T21:00:00Z,2020-07-06T22:00:00Z,UTC,https://zoom.us/j/97977868953
tacl.1743,14B,2020-07-08T18:00:00Z,2020-07-08T19:00:00Z,UTC,https://zoom.us/j/97199467059
tacl.1743,15B,2020-07-08T21:00:00Z,2020-07-08T22:00:00Z,UTC,https://zoom.us/j/96456195642
tacl.1756,8B,2020-07-07T13:00:00Z,2020-07-07T14:00:00Z,UTC,https://zoom.us/j/92596648393
tacl.1756,10A,2020-07-07T20:00:00Z,2020-07-07T21:00:00Z,UTC,https://zoom.us/j/95850103088
tacl.1759,13B,2020-07-08T13:00:00Z,2020-07-08T14:00:00Z,UTC,https://zoom.us/j/94962054808
tacl.1759,14A,2020-07-08T17:00:00Z,2020-07-08T18:00:00Z,UTC,https://zoom.us/j/91186540555
tacl.1766,4B,2020-07-06T18:00:00Z,2020-07-06T19:00:00Z,UTC,https://zoom.us/j/98662755691
tacl.1766,5B,2020-07-06T21:00:00Z,2020-07-06T22:00:00Z,UTC,https://zoom.us/j/91925354346
tacl.1779,6B,2020-07-07T06:00:00Z,2020-07-07T07:00:00Z,UTC,https://zoom.us/j/93815623121
tacl.1779,8B,2020-07-07T13:00:00Z,2020-07-07T14:00:00Z,UTC,https://zoom.us/j/95369197123
