UID,title,speakers,presentation_id
2,Bootstrapping Named Entity Recognition in E-Commerce with Positive Unlabeled Learning,"Hanchu Zhang, Leonhard Hennig, Christoph Alt, Changjian Hu, Yao Meng and Chao Wang",38931239
3,Deep Learning-based Online Alternative Product Recommendations at Scale,"Mingming Guo, Nian Yan, Xiquan Cui, San He Wu, Unaiza Ahsan, Rebecca West and Khalifeh Al Jadda",38931240
5,Semi-supervised Category-specific Review Tagging on Indonesian E-Commerce Product Reviews,"Meng Sun, Marie Stephen Leo, Eram Munawwar, Paul C. Condylis, Sheng-yi Kong, Seong Per Lee, Albert Hidayat and Muhamad Danang Kerianto",38931241
6,How to Grow a (Product) Tree: Personalized Category Suggestions for eCommerce Type-Ahead,"Jacopo Tagliabue, Bingqing Yu and Marie Beaulieu",38931242
8,A Deep Learning System for Sentiment Analysis of Service Calls,Yanan Jia,38931243
9,Using Large Pretrained Language Models for Answering User Queries from Product Specifications,"Kalyani Roy, Smit Shah, Nithish Pai, Jaidam Ramtej, Prajit Nadkarni, Jyotirmoy Banerjee, Pawan Goyal and Surender Kumar",38931244
12,On Application of Bayesian Parametric and Non-parametric Methods for User Cohorting in Product Search,Shashank Gupta,38931245
13,Deep Hierarchical Classification for Category Prediction in E-commerce System,Dehong Gao,38931246
15,Semi-Supervised Iterative Approach for Domain-Specific Complaint Detection in Social Media,"Akash Gautam, Debanjan Mahata, Rakesh Gosangi and Rajiv Ratn Shah",38931247
16,Improving Intent Classification in an E-commerce Voice Assistant by Using Inter-Utterance Context,Arpit Sharma,38931248
17,Item-based Collaborative Filtering with BERT,Tian Wang and Yuyangzi Fu,38931249
18,Simster{Q}: {A} Similarity based Clustering Approach to Opinion Question Answering,"Aishwarya Ashok, Ganapathy Natarajan, Ramez Elmasri and Laurel Smith-Stvan",38931250
21,e-Commerce and Sentiment Analysis: Predicting Outcomes of Class Action Lawsuits,Stacey Taylor and Vlado Keselj,38931251
